Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2017-05-08,63.37742,63.37742,62.444942,62.79414,5134858.5,322129280.0,81.82,0.0,0,0,0
2017-05-09,62.786465,62.870888,62.210865,62.456455,7545464.0,470912600.0,81.38,0.0,0,0,0
2017-05-10,62.448784,63.16253,62.295288,62.94763,4953187.0,311750720.0,82.02,0.0,0,0,0
2017-05-11,62.717396,62.817165,62.088074,62.632973,4616243.5,288349280.0,81.61,0.0,0,0,0
2017-05-12,62.740417,62.763443,62.325985,62.379707,4059339.8,253547870.0,81.28,0.0,0,0,0
2017-05-15,62.43343,63.097904,62.39506,62.5639,4252882.0,266607600.0,81.52,0.0,0,0,0
2017-05-16,62.5639,62.694374,61.942253,62.141796,5653109.0,351348580.0,80.97,0.0,0,0,0
2017-05-17,62.10342,62.632973,61.972954,62.39506,9438425.0,588590900.0,81.3,0.0,0,0,0
2017-05-18,62.295288,62.90159,61.957607,62.740417,5379023.0,336455870.0,81.75,0.0,0,0,0
2017-05-19,62.694374,63.454086,62.429596,63.078106,8326485.5,525422800.0,82.19,0.0,0,0,0
2017-05-22,63.10113,63.54626,63.055084,63.323696,4474116.0,283126300.0,82.51,0.0,0,0,0
2017-05-23,63.454163,63.692078,63.339043,63.37742,3857035.5,244928780.0,82.58,0.0,0,0,0
2017-05-24,63.46184,63.929996,63.43137,63.89162,3360042.0,214392540.0,83.25,0.0,0,0,0
2017-05-25,63.999065,64.19861,63.76115,63.899296,4100356.8,262402000.0,83.26,0.0,0,0,0
2017-05-26,63.876274,63.949177,63.239273,63.438816,3969192.8,251977550.0,82.66,0.0,0,0,0
2017-05-30,63.43114,63.561607,63.03973,63.03973,2430344.5,153840940.0,82.14,0.0,0,0,0
2017-05-31,63.147175,63.339043,62.832516,63.078106,7186014.0,453041900.0,82.19,0.0,0,0,0
2017-06-01,62.90159,63.484863,62.748096,63.40812,8543915.0,539586400.0,82.62,0.0,0,0,0
2017-06-02,63.669052,64.19861,63.669052,64.06046,5211307.5,333485220.0,83.47,0.0,0,0,0
2017-06-05,63.899296,63.991386,63.49254,63.784176,6410572.0,408871420.0,83.11,0.0,0,0,0
